"FISCAL_YEAR","FISCAL_COUNT","SYSTEM_ID","SYSTEM_NAME","NCES School ID","NCES District ID","SCHOOL_ID","UNIQUESCHOOLID","SCHOOL_NAME","GRADE_RANGE","FAC_SCHTYPE","Street Address","ZIP","Locale Code*","Locale*","Locale","lon","lat","schoolgeom","Total Student Count","Hispanic","American Indian","Asian","Black","Pacific Islander","White","Two or More Races","Female","Male","COURSE_TAKER_CS","Hispanic_CS","American Indian_CS","Asian_CS","Black_CS","Pacific Islander_CS","White_CS","Two or More Races_CS","Female_CS","Male_CS","Student Teacher Ratio*","Free Lunch*","Reduced Lunch*","Type","DI_Asian","DI_Black","DI_Hispanic","DI_White","DI_Female","Classification","Has Extra Teacher","School classification","Total CS Teachers","Student-Teacher Ratio (CS)","SWD Total","URG","COURSE_TITLE","SUM_POP","Less than High School","CMPLTHS and Higher","CompButNoInternet","No Computer","White population_Weighted_Income","Black population_Weighted_Income","Asian population_Weighted_Income","Hispanic population_Weighted_Income","Total_Pop_Weighted_Avg_Income","White_Weighted_Avg_Distance","Black_Weighted_Avg_Distance","Asian_Weighted_Avg_Distance","Hispanic_Weighted_Avg_Distance","Total_Missing_BGs for income","Missing_Percentage"
2024,1,610,Berrien County,130039000192,1300390,101,"6100101",Berrien High School,"09-12",H,"500 E Smith Ave","31639","32",Town: Distant,Town,-83.2459169,31.2191771,"0101000020AD10000028C23C1ABDCF54C039888CFD1B383F40",856.0,98.0,2.0,8.0,109.0,0.0,610.0,29.0,394.0,462.0,,,,,,,,,,,14.5,309.0,59.0,Regular,,,,,,No,false,No without extra teacher,,,,0.242,,13124.0,14.2563242913746,56.6138372447425,11.5970740627857,11.4599207558671,26365.4535582703,14623.7492537313,10468.0,25627.0455927052,23520.6159710148,4803.24708998323,2785.20662555806,7493.40690583281,4231.68329005242,7.0,23.3333333333333
2024,1,641,Dade County,130159000775,1301590,195,"6410195",Dade County High School,"09-12",H,"300 Tradition Ln","30752","31",Town: Fringe,Town,-85.5088949,34.8616543,"0101000020AD1000007A26EABB916055C0987A27B04A6E4140",580.0,23.0,5.0,8.0,6.0,0.0,522.0,16.0,287.0,293.0,,,,,,,,,,,15.47,191.0,70.0,Regular,,,,,,No,true,No with extra teacher,,,,0.05,,11701.0,10.4435518331767,58.9778651397317,4.90556362704042,6.1960516195197,31636.7995852187,20311.0,15168.0,25501.0,28864.1484244337,2105.54404023338,1359.88995875873,2916.54874348105,5351.27238671976,7.0,35.0
2024,1,611,Bibb County,130042003726,1300420,105,"6110105",Howard High School,"09-12",H,"6400 Forsyth Rd","31210","41",Rural: Fringe,Rural,-83.7721113,32.9030213,"0101000020AD100000CF9783456AF154C0B38BB33396734040",1133.0,80.0,2.0,42.0,796.0,1.0,150.0,62.0,528.0,605.0,70.0,2.0,0.0,5.0,43.0,1.0,17.0,2.0,10.0,60.0,15.31,1076.0,0.0,Regular,0.034,-0.088,-0.042,0.11,-0.323,Both,true,Both with extra teacher,6.0,188.83,1.0,0.773,"Advanced Placement Computer Science Principles, Game Design: Animation and Simulation, Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",2375.0,3.36842105263158,58.8631578947368,0.0,3.32631578947368,57443.0,44179.0,53276.0,23619.0,50720.0,962.086951337991,962.086951337991,962.086951337991,962.086951337991,0.0,0.0
2024,1,611,Bibb County,130042001942,1300420,186,"6110186",Central High School,"09-12",H,"2155 Napier Ave","31204","12",City: Midsize,City,-83.6564033,32.8368544,"0101000020AD100000229FFC8202EA54C0C1C1830B1E6B4040",876.0,36.0,1.0,9.0,764.0,1.0,44.0,21.0,494.0,382.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,6.0,9.0,14.96,844.0,0.0,Regular,-0.01,-0.272,-0.041,-0.05,-0.164,Both,true,Both with extra teacher,3.0,292.0,0.0,0.913,"Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",9735.0,6.7899332306112,47.6014381099127,7.9301489470981,6.84129429892142,31573.2738995109,15030.8139049454,5114.87162162162,13372.962585034,10116.1291667825,902.786756159724,168.809777707535,1110.73419620233,182.254889242031,9.0,28.125
2024,1,611,Bibb County,130042001918,1300420,198,"6110198",Westside High School,"09-12",H,"2851 Heath Rd","31206","12",City: Midsize,City,-83.7524489,32.8155962,"0101000020AD100000515A6E1F28F054C0F6DECE7465684040",1010.0,94.0,1.0,10.0,844.0,0.0,35.0,26.0,490.0,520.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,18.37,1025.0,0.0,Regular,-0.01,-0.336,-0.093,-0.035,-0.485,Both,true,Both with extra teacher,3.0,336.67,0.0,0.929,"Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",1077.0,0.0,91.0863509749304,6.12813370473538,0.835654596100279,44700.0,38846.0,,,41163.0,973.582172033889,973.582172033889,,973.582172033889,1.0,33.3333333333333
2024,1,611,Bibb County,130042002610,1300420,204,"6110204",Rutland High School,"09-12",H,"6250 Skipper Rd","31216","12",City: Midsize,City,-83.7132716,32.7370496,"0101000020AD10000099CAEC3DA6ED54C0D3C32BA4575E4040",897.0,152.0,2.0,15.0,461.0,0.0,239.0,28.0,446.0,451.0,21.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,3.0,18.0,16.7,907.0,0.0,Regular,-0.017,0.2,-0.169,0.019,-0.354,Both,false,Both without extra teacher,1.0,897.0,3.0,0.683,"Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",4877.0,7.19704736518352,68.9563256100062,4.20340373180234,10.5392659421776,40172.2625561454,29660.5199203187,,,35189.0442513804,1497.97815673393,1492.27901537057,1507.84142056189,1507.84142056189,2.0,33.3333333333333
2024,1,611,Bibb County,130042001943,1300420,286,"6110286",Northeast High School,"09-12",H,"1646 Upper River Rd","31211","12",City: Midsize,City,-83.620875,32.8665402,"0101000020AD100000DBF97E6ABCE754C0ACD50DCAEA6E4040",790.0,11.0,0.0,0.0,735.0,0.0,21.0,23.0,379.0,411.0,,,,,,,,,,,15.79,742.0,0.0,Regular,,,,,,No,true,No with extra teacher,2.0,395.0,,0.944,,4919.0,13.8239479569018,47.6926204513112,9.43281154706241,7.74547672291116,30859.4019528072,13274.4009389671,,12530.0,16215.9114144109,888.770327818625,905.134413284518,816.914442897722,1227.15469745901,6.0,33.3333333333333
2024,1,611,Bibb County,130042001944,1300420,386,"6110386",Southwest High School,"09-12",H,"1775 Williamson Rd","31206","12",City: Midsize,City,-83.6733641,32.8074185,"0101000020AD1000003BF3BC6518EB54C0BAD7497D59674040",820.0,29.0,1.0,0.0,763.0,0.0,16.0,11.0,390.0,430.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,6.0,15.27,800.0,0.0,Regular,0.0,0.07,-0.035,-0.02,-0.142,Both,true,Both with extra teacher,3.0,273.33,0.0,0.966,"Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",5546.0,14.2084385142445,48.8820771727371,6.92390912369275,10.6923909123693,13733.5991561181,14930.1234283319,,,14313.3511775766,769.239098158228,860.388715835651,,835.551610746005,2.0,18.1818181818182
2024,1,612,Bleckley County,130044000253,1300440,105,"6120105",Bleckley County High School,"09-12",H,"1 Royal Dr","31014","41",Rural: Fringe,Rural,-83.3546098,32.3868278,"0101000020AD100000D4754DEDB1D654C08117C79283314040",682.0,26.0,0.0,5.0,166.0,0.0,469.0,16.0,352.0,330.0,16.0,2.0,0.0,1.0,2.0,0.0,10.0,1.0,4.0,12.0,14.88,235.0,68.0,Regular,0.055,-0.118,0.087,-0.063,-0.266,Both,false,Both without extra teacher,1.0,682.0,1.0,0.282,"Game Design: Animation and Simulation, Computer Science Principles",18723.0,6.51070875393901,60.6419911338995,11.1627410137264,5.42113977460877,38422.6636551566,17062.8531257846,21986.992,68496.2903225807,22921.9167514975,5333.73719390876,1300.53451048899,4248.05317776622,7201.06825566977,18.0,33.3333333333333
2024,1,613,Brantley County,130048000258,1300480,1050,"6131050",Brantley County High School,"09-12",H,"10804 Highway 82","31553","43",Rural: Remote,Rural,-82.0277718,31.1963824,"0101000020AD10000011305F03C78154C08F82F11D46323F40",949.0,38.0,0.0,1.0,34.0,1.0,842.0,33.0,445.0,504.0,41.0,1.0,0.0,0.0,0.0,0.0,34.0,6.0,5.0,36.0,15.21,632.0,0.0,Regular,-0.001,-0.036,-0.016,-0.058,-0.347,In Person,false,In Person without extra teacher,2.0,474.5,11.0,0.076,"Game Design: Animation and Simulation, Computer Science Principles",17820.0,11.3355780022447,54.6801346801347,16.1840628507295,3.91694725028058,25095.0229369235,20482.5802139037,,36579.0,22976.6674182249,8203.21133919157,10129.6138341941,10341.5038067562,15388.5769421036,10.0,41.6666666666667
2024,1,614,Brooks County,130054000263,1300540,110,"6140110",Brooks County High School,"09-12",H,"1801 Moultrie Hwy","31643","41",Rural: Fringe,Rural,-83.5630507,30.8098158,"0101000020AD1000005A9FCD0509E454C0B9C8981650CF3E40",550.0,80.0,0.0,1.0,303.0,0.0,147.0,19.0,276.0,274.0,,,,,,,,,,,14.19,532.0,0.0,Regular,,,,,,No,false,No without extra teacher,,,,0.696,,20256.0,11.8779620853081,56.6498815165877,14.4994075829384,10.9942733017378,33689.0994801936,19439.5611922324,,20127.2937853107,24827.2336397442,10289.9194322004,6976.02529305413,10764.5991282746,8720.72355549624,14.0,26.4150943396226
2024,1,615,Bryan County,130057001873,1300570,182,"6150182",Richmond Hill High School,"09-12",H,"1 Wildcat Dr","31324","21",Suburb: Large,Suburb,-81.3162488,31.9256486,"0101000020AD1000008D599B6B3D5454C09396804EF7EC3F40",2650.0,331.0,7.0,88.0,465.0,10.0,1585.0,164.0,1309.0,1341.0,26.0,1.0,0.0,8.0,0.0,0.0,17.0,0.0,7.0,19.0,14.01,371.0,197.0,Regular,0.274,-0.175,-0.086,0.056,-0.225,Both,false,Both without extra teacher,1.0,2650.0,1.0,0.3,"Advanced Placement Computer Science Principles, Computer Science Principles, Introduction to Cybersecurity",195574.0,5.5043103889065,61.460112284864,3.85787476862978,3.27344125497254,49719.776487512,27249.9891875145,41881.8669634026,22955.5317472231,32023.9014078063,8596.25166482143,12243.5171286198,9395.7416913116,6882.62812778569,131.0,27.4633123689727
2024,1,615,Bryan County,130057002396,1300570,502,"6150502",Bryan County High School,"09-12",H,"1234 Camellia Dr","31321","42",Rural: Distant,Rural,-81.6092442,32.1492555,"0101000020AD100000C59162DBFD6654C0C39FE1CD1A134040",561.0,33.0,0.0,5.0,123.0,0.0,369.0,31.0,277.0,284.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.83,285.0,85.0,Regular,-0.009,-0.219,0.441,-0.658,-0.494,Virtual,true,Virtual with extra teacher,1.0,561.0,0.0,0.278,Advanced Cybersecurity,29810.0,7.17544448171754,48.6246226098625,7.59476685675948,3.14324052331432,28542.4948570253,25715.3198462472,37090.9366666667,16088.7654049296,23695.7813680222,10299.9076272995,12575.694088824,20299.6556088436,18714.0419423728,13.0,28.2608695652174
2024,1,617,Burke County,130066001991,1300660,288,"6170288",Burke County High School,"09-12",H,"1057 Burke Veterans Pkwy","30830","32",Town: Distant,Town,-81.990977,33.0849357,"0101000020AD100000A585CB2A6C7F54C0A6E14A2CDF8A4040",1137.0,69.0,1.0,1.0,732.0,0.0,286.0,48.0,531.0,606.0,50.0,4.0,0.0,0.0,38.0,0.0,8.0,0.0,17.0,33.0,15.04,1170.0,0.0,Regular,-0.001,0.116,0.019,-0.092,-0.127,Both,false,Both without extra teacher,1.0,1137.0,7.0,0.704,"Computer Science Principles, Introduction to Cybersecurity, Advanced Cybersecurity",16893.0,7.12129284318949,53.4718522464926,5.39868584620849,4.94879535902445,56643.3884572697,18506.4444313633,36738.0,13751.0,26229.4437661675,6705.21364378746,5115.87359948481,9130.78981516389,5275.19315392007,3.0,10.7142857142857
2024,1,618,Butts County,130069000301,1300690,190,"6180190",Jackson High School,"09-12",H,"717 S Harkness St","30233","41",Rural: Fringe,Rural,-83.9831067,33.2893852,"0101000020AD1000009F3E5D38EBFE54C024F900930AA54040",1071.0,56.0,1.0,5.0,361.0,1.0,591.0,56.0,525.0,546.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,5.0,17.26,890.0,0.0,Regular,-0.005,-0.004,-0.052,0.115,-0.324,Virtual,false,Virtual without extra teacher,,,1.0,0.389,Computer Science Principles,92535.0,6.61155238558383,57.9445615172637,6.27438266601826,2.99238126114443,36898.7085724222,28392.2101071579,30214.1,21868.4203197525,30229.9174743106,10808.4996381669,11471.5383333702,20382.5859402761,12476.8080251619,41.0,25.9493670886076
2024,1,619,Calhoun County,130075004081,1300750,113,"6190113",Calhoun County High School,"09-12",H,"133 Cougar Lane","39846","43",Rural: Remote,Rural,-84.7266586,31.5629536,"0101000020AD100000DC961293812E55C05C2A25BA1D903F40",140.0,1.0,0.0,0.0,138.0,0.0,1.0,0.0,69.0,71.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,11.99,163.0,0.0,Regular,0.0,0.014,-0.007,-0.007,-0.493,Virtual,false,Virtual without extra teacher,,,0.0,0.993,Computer Science Principles,6651.0,16.9899263268681,57.7356788452864,10.9306871147196,7.95369117425951,25784.299856528,15439.7282238443,,2746.0,14492.2925269894,7504.26493184878,7865.02582732437,7047.42027196268,6262.73616141247,6.0,26.0869565217391
2024,1,620,Camden County,130078000315,1300780,295,"6200295",Camden County High School,"09-12",H,"6300 Laurel Island Pkwy","31548","41",Rural: Fringe,Rural,-81.6487135,30.8142749,"0101000020AD10000051BEA085846954C02474E15174D03E40",2777.0,257.0,6.0,37.0,655.0,8.0,1569.0,245.0,1337.0,1440.0,139.0,16.0,0.0,2.0,27.0,0.0,86.0,8.0,21.0,118.0,15.26,803.0,268.0,Regular,0.001,-0.042,0.023,0.054,-0.33,Both,true,Both with extra teacher,4.0,694.25,20.0,0.328,"Advanced Placement, Computer Science A, Advanced Placement Computer Science Principles, Game Design: Animation and Simulation, Computer Science Principles",50836.0,4.43386576441892,58.5844677000551,5.8678888976316,1.63073412542293,35178.5805789899,29864.3425902864,47983.6509009009,27201.7208720515,29875.5523171381,5374.8787849028,5000.28089058561,4289.98740243575,4246.12271448808,33.0,29.4642857142857
2024,1,621,Candler County,130081000317,1300810,101,"6210101",Metter High School ,"09-12",H,"34905 Ga Highway 129 S","30439","41",Rural: Fringe,Rural,-82.0529149,32.364736,"0101000020AD100000263E2DF5628354C041D653ABAF2E4040",463.0,104.0,0.0,1.0,138.0,1.0,204.0,15.0,229.0,234.0,8.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,7.0,15.25,411.0,0.0,Regular,-0.002,-0.048,0.025,0.059,-0.37,Virtual,true,Virtual with extra teacher,1.0,463.0,2.0,0.523,"Advanced Placement Computer Science Principles, Web Development, Game Design: Animation and Simulation",67880.0,6.85916322922805,46.6190335886859,8.93783146729523,3.43842074248674,29471.4037565933,18515.4425691737,17776.9169329074,12025.0151515152,16435.8843000558,16335.4850299516,21049.9977318493,21278.9713685899,12705.8438706349,42.0,26.5822784810127
2024,1,622,Carroll County,130084002097,1300840,189,"6220189",Temple High School,"09-12",H,"589 Sage St","30179","21",Suburb: Large,Suburb,-85.0252729,33.7321457,"0101000020AD10000067BE39129E4155C019B446F3B6DD4040",810.0,72.0,3.0,7.0,172.0,1.0,501.0,54.0,403.0,407.0,,,,,,,,,,,18.37,351.0,111.0,Regular,,,,,,No,true,No with extra teacher,1.0,810.0,,0.301,,26472.0,10.0521305530372,53.5660320338471,4.20444242973708,4.37821093986099,31384.4836528665,23306.3853622106,,39331.8536585366,28742.8280638845,5079.3604115574,2766.05490583314,4466.41612063399,4315.13511404462,15.0,40.5405405405405
2024,1,622,Carroll County,130084003582,1300840,212,"6220212",Mt. Zion High School,"09-12",H,"280 Eureka Church Rd","30117","41",Rural: Fringe,Rural,-85.1565647,33.6026927,"0101000020AD100000508DF227054A55C0DB04CE0825CD4040",471.0,74.0,0.0,2.0,50.0,0.0,315.0,30.0,220.0,251.0,,,,,,,,,,,17.28,246.0,48.0,Regular,,,,,,No,true,No with extra teacher,1.0,471.0,,0.263,,16014.0,10.6594230048707,39.6965155488947,2.34794554764581,3.5718746097165,28042.7346253478,14181.6421907915,11439.3269230769,14461.7305336833,19154.2543316527,4400.37628125203,4410.51486968262,2218.88427803463,3748.90494801397,7.0,24.1379310344828
2024,1,622,Carroll County,130084000331,1300840,2052,"6222052",Central High School,"09-12",H,"113 Central High Rd","30116","31",Town: Fringe,Town,-85.0684467,33.5531181,"0101000020AD1000003981446E614455C0AF29EB92CCC64040",1357.0,158.0,2.0,3.0,147.0,0.0,975.0,72.0,659.0,698.0,9.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,3.0,6.0,18.6,485.0,130.0,Regular,-0.002,0.114,-0.116,0.059,-0.152,Both,true,Both with extra teacher,2.0,678.5,1.0,0.225,Advanced Placement Computer Science Principles,38153.0,9.0320551463843,57.7149896469478,4.15170497732813,3.88698136450607,37133.534702383,47620.2899055196,,13553.6086956522,33988.1128223115,8225.3629257599,6851.60064997061,9163.32710066997,10235.4771354545,27.0,36.986301369863
2024,1,622,Carroll County,130084000330,1300840,3050,"6223050",Bowdon High School,"09-12",H,"504 W College St","30108","42",Rural: Distant,Rural,-85.2607702,33.538537,"0101000020AD1000005E317E75B05055C0CD57C9C7EEC44040",397.0,28.0,1.0,0.0,52.0,0.0,287.0,29.0,192.0,205.0,38.0,5.0,0.0,0.0,4.0,0.0,26.0,3.0,23.0,15.0,15.18,184.0,50.0,Regular,0.0,-0.026,0.061,-0.039,0.122,In Person,true,In Person with extra teacher,2.0,198.5,7.0,0.202,"Advanced Placement, Computer Science A, Advanced Placement Computer Science Principles, Computer Science Principles, Programming, Games, Apps and Society",9048.0,13.4946949602122,58.3443854995579,9.27276746242264,9.53801945181256,31950.3353826851,19761.7110655738,,,29439.7243425312,5246.07750747755,3094.87255226623,5789.22201120103,4238.42286388852,9.0,47.3684210526316
